"year","Region","latitude","longitude","Elevation","VEI"
1872,"Kyushu-Japan_Aso",32.88,131.1,1592,3
1872,"Kuril Is_Sinarka",48.875,154.175,934,4
1873,"Mindanao-Philippines_Ragang",7.67,124.5,2815,2
1873,"Italy_Vesuvius",40.821,14.426,1281,NA
1874,"Izu Is-Japan_Miyake-jima",34.08,139.53,815,3
1874,"Luzon-Philippines_Taal",14.002,120.993,400,2
1875,"Java_Kelut",-7.93,112.308,1731,0
1875,"Iceland-NE_Askja",65.03,-16.75,1516,5
1875,"Luzon-Philippines_Mayon",13.257,123.685,2462,NA
1877,"Hawaiian Is_Mauna Loa",19.475,-155.608,4170,0
1877,"Ecuador_Cotopaxi",-0.677,-78.436,5911,4
1878,"Vanuatu-SW Pacific_Yasur",-19.52,169.425,361,3
1878,"New Britain-SW Pac_Rabaul",-4.271,152.203,688,3
1878,"Vanuatu-SW Pacific_Yasur",-19.52,169.425,361,NA
1878,"Aleutian Is_Okmok",53.42,-168.13,1073,2
1879,"Italy_Stromboli",38.789,15.213,926,2
1883,"Indian O-W_Karthala",-11.75,43.38,2361,2
1883,"Indonesia_Krakatau",-6.102,105.423,813,6
1883,"Alaska-SW_Augustine",59.37,-153.42,1252,4
1883,"Indonesia_Krakatau",-6.102,105.423,813,NA
1883,"Bougainville-SW Paci_Bagana",-6.14,155.195,1750,3
1884,"Indonesia_Krakatau",-6.102,105.423,813,NA
1885,"Java_Semeru",-8.108,112.92,3676,2
1885,"Colombia_Purace",2.32,-76.4,4650,3
1886,"Ecuador_Tungurahua",-1.467,-78.442,5023,4
1886,"New Zealand_Okataina",-38.12,176.5,1111,2
1886,"Tonga-SW Pacific_Niuafo'ou",-15.6,-175.63,260,4
1887,"Luzon-Philippines_Mayon",13.257,123.685,2462,3
1888,"New Guinea-NE of_Ritter Island",-5.52,148.121,140,3
1888,"Honshu-Japan_Bandai",37.6,140.08,1819,4
1889,"Sangihe Is-Indonesia_Banua Wuhu",3.138,125.491,-5,2
1890,"Halmahera-Indonesia_Makian",0.32,127.4,1357,2
1890,"New Guinea_Victory",-9.2,149.07,1925,2
1892,"Sumatra_Sorikmarapi",0.686,99.539,2145,2
1892,"Sangihe Is-Indonesia_Awu",3.67,125.5,1320,3
1892,"Tonga-SW Pacific_Tofua",-19.75,-175.07,512,2
1893,"Chile-S_Calbuco",-41.326,-72.614,2003,4
1893,"Honshu-Japan_Azuma",37.73,140.25,2024,2
1894,"Vanuatu-SW Pacific_Ambrym",-16.25,168.12,1334,3
1895,"Java_Semeru",-8.108,112.92,3676,2
1895,"New Guinea-NE of_Karkar",-4.649,145.964,1839,2
1895,"Kyushu-Japan_Kirishima",31.93,130.87,1700,2
1895,"New Britain-SW Pac_Dakataua",-5.056,150.108,400,2
1896,"Kyushu-Japan_Kirishima",31.93,130.87,1700,2
1897,"Santa Cruz Is-SW Pac_Tinakula",-10.38,165.8,851,2
1897,"Luzon-Philippines_Mayon",13.257,123.685,2462,3
1899,"Colombia_Dona Juana",1.47,-76.92,4150,4
1899,"New Guinea-NE of_Manam",-4.1,145.061,1807,2
1900,"Honshu-Japan_Asama",36.4,138.53,2560,2
1900,"Kyushu-Japan_Kirishima",31.93,130.87,1700,2
1900,"Honshu-Japan_Adatara",37.62,140.28,1718,2
1900,"Africa-NE_Tullu Moje",8.158,39.13,2349,NA
1901,"Java_Kelut",-7.93,112.308,1731,3
1901,"Vanuatu-SW Pacific_Epi",-16.68,168.37,833,NA
1902,"W Indies_Pelee",14.82,-61.17,1397,NA
1902,"W Indies_Soufriere St. Vincent",13.33,-61.18,1220,4
1902,"W Indies_Pelee",14.82,-61.17,1397,4
1902,"W Indies_Pelee",14.82,-61.17,1397,NA
1902,"Izu Is-Japan_Tori-shima",30.48,140.32,403,3
1902,"W Indies_Pelee",14.82,-61.17,1397,4
1902,"Guatemala_Santa Maria",14.756,-91.552,3772,6
1902,"Java_Merapi",-7.542,110.442,2947,2
1903,"New Zealand_Okataina",-38.12,176.5,1111,1
1903,"Indian O-W_Karthala",-11.75,43.38,2361,NA
1904,"Indian O-W_Karthala",-11.75,43.38,2361,2
1905,"Italy_Vesuvius",40.821,14.426,1281,2
1905,"Samoa-SW Pacific_Savai'i",-13.612,-172.525,1858,2
1906,"Italy_Vesuvius",40.821,14.426,1281,3
1907,"Tonga-SW Pacific_Unnamed",-21.38,-175.65,-500,0
1907,"Africa-NE_Alayta",12.88,40.57,1501,2
1907,"Lesser Sunda Is_Lewotobi",-8.53,122.775,1703,2
1907,"Samoa-SW Pacific_Savai'i",-13.612,-172.525,1858,NA
1909,"_Cameroon",NA,NA,NA,NA
1909,"Java_Semeru",-8.108,112.92,3676,2
1910,"New Zealand_Taupo",-38.82,176,760,NA
1910,"Hokkaido-Japan_Usu",42.53,140.83,731,2
1911,"Luzon-Philippines_Taal",14.002,120.993,400,4
1911,"Honshu-Japan_Asama",36.4,138.53,2560,2
1911,"Honshu-Japan_Asama",36.4,138.53,2560,2
1911,"Trinidad_Piparo",10,-61,140,NA
1911,"Java_Semeru",-8.108,112.92,3676,3
1912,"Alaska Peninsula_Novarupta",58.27,-155.16,841,6
1912,"Africa-C_Nyamuragira",NA,NA,NA,NA
1913,"Mexico_Colima",19.514,-103.62,3850,4
1913,"Sangihe Is-Indonesia_Awu",3.67,125.5,1320,2
1913,"Honshu-Japan_Asama",36.4,138.53,2560,1
1913,"Java_Semeru",-8.108,112.92,3676,2
1913,"Vanuatu-SW Pacific_Ambrym",-16.25,168.12,1334,3
