"year","Region","latitude","longitude","Elevation","VEI"
1991,"Kamchatka_Mutnovsky",52.453,158.195,2322,NA
1991,"Indian O-W_Karthala",-11.75,43.38,2361,2
1991,"_Hudson",NA,NA,NA,NA
1991,"Sulawesi-Indonesia_Lokon-Empung",1.358,124.792,1580,1
1991,"Italy_Etna",37.734,15.004,3350,2
1992,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,2
1992,"Java_Dieng Volc Complex",-7.2,109.92,2565,NA
1992,"_Negro",NA,NA,NA,NA
1992,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,1
1992,"Sumatra_Marapi",-0.381,100.473,2891,2
1992,"Luzon-Philippines_Pinatubo",15.13,120.35,1486,1
1992,"Alaska-SW_Spurr",61.3,-152.25,3374,3
1992,"Java_Semeru",-8.108,112.92,3676,3
1993,"Colombia_Galeras",1.22,-77.37,4276,2
1993,"Banda Sea_Wurlali",-7.125,128.675,868,NA
1993,"Luzon-Philippines_Mayon",13.257,123.685,2462,2
1993,"Ecuador_Guagua Pichincha",-0.171,-78.598,4784,1
1993,"Hawaiian Is_Kilauea",19.425,-155.292,1222,NA
1993,"Indonesia_Krakatau",-6.102,105.423,813,1
1993,"Kyushu-Japan_Unzen",32.75,130.3,1500,1
1993,"Luzon-Philippines_Pinatubo",15.13,120.35,1486,1
1993,"Luzon-Philippines_Pinatubo",15.13,120.35,1486,NA
1994,"Vanuatu-SW Pacific_Yasur",-19.52,169.425,361,3
1994,"Java_Semeru",-8.108,112.92,3676,3
1994,"Kyushu-Japan_Aso",32.88,131.1,1592,1
1994,"Colombia_Huila",2.92,-76.05,5365,NA
1994,"New Britain-SW Pac_Rabaul",-4.271,152.203,688,3
1994,"Lesser Sunda Is_Rinjani",-8.42,116.47,3726,3
1994,"Java_Merapi",-7.542,110.442,2947,3
1995,"Vanuatu-SW Pacific_Yasur",-19.52,169.425,361,3
1995,"Honshu-Japan_Yake-dake",36.22,137.58,2455,1
1995,"Cape Verde Is_Fogo",14.95,-24.35,2829,2
1995,"Guatemala_Pacaya",14.381,-90.601,2552,3
1995,"Lesser Sunda Is_Kelimutu",-8.758,121.83,1640,NA
1995,"Mindanao-Philippines_Parker",6.12,124.892,1824,NA
1996,"Kamchatka_Karymsky",54.05,159.43,1536,2
1996,"Mexico_Popocatepetl",19.023,-98.622,5426,3
1996,"Philippines-C_Kanlaon",10.412,123.132,2435,2
1996,"Nicaragua_Maderas",11.446,-85.515,1394,NA
1996,"Iceland-NE_Grimsvotn",64.42,-17.33,1725,3
1996,"New Guinea-NE of_Manam",-4.1,145.061,1807,3
1997,"Java_Merapi",-7.542,110.442,2947,2
1997,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,1
1997,"W Indies_Soufriere Hills",16.72,-62.18,915,3
1997,"Honshu-Japan_Hakkoda Group",40.65,140.88,1585,NA
1997,"W Indies_Soufriere Hills",16.72,-62.18,915,3
1997,"Java_Semeru",-8.108,112.92,3676,3
1997,"Honshu-Japan_Adatara",37.62,140.28,1718,NA
1997,"Kyushu-Japan_Aso",32.88,131.1,1592,NA
1997,"W Indies_Soufriere Hills",16.72,-62.18,915,NA
1998,"Hawaiian Is_Kilauea",19.425,-155.292,1222,NA
1998,"Java_Kelut",-7.93,112.308,1731,NA
1998,"Nicaragua_San Cristobal",12.702,-87.004,1745,NA
1999,"W Indies_Soufriere Hills",16.72,-62.18,915,3
1999,"Guatemala_Fuego",14.473,-90.88,3763,2
1999,"Kamchatka_Shiveluch",56.653,161.36,3283,4
1999,"Ecuador_Guagua Pichincha",-0.171,-78.598,4784,3
1999,"Ecuador_Tungurahua",-1.467,-78.442,5023,3
2000,"Izu Is-Japan_Miyake-jima",34.08,139.53,815,2
2000,"Java_Semeru",-8.108,112.92,3676,3
2000,"Costa Rica_Arenal",10.463,-84.703,1657,3
2000,"Hawaiian Is_Kilauea",19.425,-155.292,1222,NA
2000,"Java_Merapi",-7.542,110.442,2947,2
2001,"Italy_Etna",37.734,15.004,3350,3
2001,"Italy_Etna",37.734,15.004,3350,2
2001,"Java_Merapi",-7.542,110.442,2947,2
2001,"Italy_Stromboli",38.789,15.213,926,2
2002,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,3
2002,"Africa-C_Nyiragongo",NA,NA,NA,NA
2002,"Italy_Etna",37.734,15.004,3350,3
2002,"Ecuador_Reventador",-0.078,-77.656,3562,4
2002,"Italy_Stromboli",38.789,15.213,926,NA
2002,"Java_Semeru",-8.108,112.92,3676,3
2003,"W Indies_Soufriere Hills",16.72,-62.18,915,3
2004,"Lesser Sunda Is_Egon",-8.67,122.45,1703,1
2004,"Java_Tengger Caldera",-7.942,112.95,2329,2
2004,"New Guinea-NE of_Manam",-4.1,145.061,1807,4
2005,"New Guinea-NE of_Manam",-4.1,145.061,1807,4
2005,"El Salvador_Santa Ana",13.853,-89.63,2365,3
2005,"Indian O-W_Karthala",-11.75,43.38,2361,NA
2006,"Kermadec Is_Raoul Island",-29.27,-177.92,516,NA
2006,"W Indies_Soufriere Hills",16.72,-62.18,915,2
2006,"Luzon-Philippines_Bulusan",12.77,124.05,1565,2
2006,"Java_Merapi",-7.542,110.442,2947,1
2006,"Ecuador_Tungurahua",-1.467,-78.442,5023,3
2006,"Ecuador_Tungurahua",-1.467,-78.442,5023,3
2006,"Luzon-Philippines_Mayon",13.257,123.685,2462,1
2007,"New Guinea-NE of_Manam",-4.1,145.061,1807,4
2007,"Colombia_Huila",2.92,-76.05,5365,NA
2007,"Java_Salak",-6.72,106.73,2211,NA
2007,"_Tair",NA,NA,NA,NA
2008,"Chile-S_Chaiten",-42.833,-72.646,962,NA
2008,"Aleutian Is_Kasatochi",52.18,-175.5,314,3
2008,"Ecuador_Tungurahua",-1.467,-78.442,5023,3
2008,"Colombia_Huila",2.92,-76.05,5365,NA
2009,"Alaska-SW_Redoubt",60.48,-152.75,3108,NA
2009,"Hawaiian Is_Kilauea",19.425,-155.292,1222,NA
2010,"Ecuador_Tungurahua",-1.467,-78.442,5023,3
2010,"Iceland-S_Eyjafjallajokull",63.63,-19.62,1666,2
2010,"Guatemala_Pacaya",14.381,-90.601,2552,1
2010,"Mariana Is-C Pacific_Sarigan",16.708,145.78,538,NA
2010,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,3
2010,"Sumatra_Sinabung",3.17,98.392,2460,NA
2010,"Java_Merapi",-7.542,110.442,2947,NA
2010,"Ecuador_Tungurahua",-1.467,-78.442,5023,3
2010,"Java_Tengger Caldera",-7.942,112.95,2329,NA
2011,"Java_Merapi",-7.542,110.442,2947,NA
2011,"Kyushu-Japan_Kirishima",31.93,130.87,1700,NA
2011,"Luzon-Philippines_Bulusan",12.77,124.05,1565,2
2011,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,NA
2011,"Ecuador_Tungurahua",-1.467,-78.442,5023,4
2011,"Chile-C_Puyehue",-40.59,-72.117,2236,4
2011,"Africa-NE_Nabro",13.37,41.7,2218,3
2011,"Iceland-S_Katla",63.63,-19.05,1512,NA
2011,"Sulawesi-Indonesia_Lokon-Empung",1.358,124.792,1580,NA
2011,"Halmahera-Indonesia_Gamalama",0.8,127.325,1715,3
2012,"Hawaiian Is_Kilauea",19.425,-155.292,1222,NA
2012,"Hawaiian Is_Kilauea",19.425,-155.292,1222,NA
2012,"Kamchatka_Tolbachik",55.83,160.33,3682,NA
2013,"Java_Merapi",-7.542,110.442,2947,NA
2013,"Lesser Sunda Is_Paluweh",-8.32,121.708,875,NA
2013,"Luzon-Philippines_Mayon",13.257,123.685,2462,NA
2013,"Lesser Sunda Is_Paluweh",-8.32,121.708,875,3
2013,"Peru_Ubinas",-16.355,-70.903,5672,NA
2013,"Kyushu-Japan_Sakura-jima",31.58,130.67,1117,NA
2013,"Sumatra_Sinabung",3.17,98.392,2460,2
2013,"New Zealand_Okataina",-38.12,176.5,1111,NA
2014,"Sumatra_Sinabung",3.17,98.392,2460,NA
2014,"Java_Kelut",-7.93,112.308,1731,NA
2014,"Honshu-Japan_On-take",35.9,137.48,3063,3
2014,"Hawaiian Is_Kilauea",19.425,-155.292,1222,NA
2014,"Cape Verde Is_Fogo",14.95,-24.35,2829,NA
2014,"Halmahera-Indonesia_Gamalama",0.8,127.325,1715,NA
2015,"Sumatra_Sinabung",3.17,98.392,2460,NA
2015,"Chile-S_Calbuco",-41.326,-72.614,2003,NA
2015,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,NA
2015,"New Guinea-NE of_Manam",-4.1,145.061,1807,2
2015,"Sumatra_Sinabung",3.17,98.392,2460,NA
2015,"New Zealand_Okataina",-38.12,176.5,1111,NA
2016,"Sumatra_Sinabung",3.17,98.392,2460,NA
2016,"Sumatra_Sinabung",3.17,98.392,2460,NA
2016,"US-Wyoming_Yellowstone",44.43,-110.67,2805,NA
2016,"Lesser Sunda Is_Rinjani",-8.42,116.47,3726,NA
2016,"Kyushu-Japan_Aso",32.88,131.1,1592,NA
2017,"Sumatra_Sinabung",3.17,98.392,2460,2
2017,"Java_Dieng Volc Complex",-7.2,109.92,2565,NA
2017,"Italy_Campi Flegrei",40.827,14.139,458,NA
2017,"Vanuatu-SW Pacific_Aoba",-15.4,167.83,1496,NA
2017,"Hawaiian Is_Kilauea",19.425,-155.292,1222,NA
