Year,Name,Location,Latitude,Longitude,Elevation,VEI
1994,Rabaul,New Britain-SW Pac,-4.271,152.203,688,3
1994,Rinjani,Lesser Sunda Is,-8.42,116.47,3726,3
1994,Merapi,Java,-7.542,110.442,2947,3
1995,Yasur,Vanuatu-SW Pacific,-19.52,169.425,361,3
1995,Yake-dake,Honshu-Japan,36.22,137.58,2455,1
1995,Fogo,Cape Verde Is,14.95,-24.35,2829,2
1995,Pacaya,Guatemala,14.381,-90.601,2552,3
1995,Kelimutu,Lesser Sunda Is,-8.758,121.83,1640,
1995,Parker,Mindanao-Philippines,6.12,124.892,1824,
1996,Karymsky,Kamchatka,54.05,159.43,1536,2
1996,Popocatepetl,Mexico,19.023,-98.622,5426,3
1996,Kanlaon,Philippines-C,10.412,123.132,2435,2
1996,Maderas,Nicaragua,11.446,-85.515,1394,
1996,Grimsvotn,Iceland-NE,64.42,-17.33,1725,3
1996,Manam,New Guinea-NE of,-4.1,145.061,1807,3
1997,Merapi,Java,-7.542,110.442,2947,2
1997,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,1
1997,Soufriere Hills,W Indies,16.72,-62.18,915,3
1997,Hakkoda Group,Honshu-Japan,40.65,140.88,1585,
1997,Soufriere Hills,W Indies,16.72,-62.18,915,3
1997,Semeru,Java,-8.108,112.92,3676,3
1997,Adatara,Honshu-Japan,37.62,140.28,1718,
1997,Aso,Kyushu-Japan,32.88,131.1,1592,
1997,Soufriere Hills,W Indies,16.72,-62.18,915,
1998,Kilauea,Hawaiian Is,19.425,-155.292,1222,
1998,Kelut,Java,-7.93,112.308,1731,
1998,San Cristobal,Nicaragua,12.702,-87.004,1745,
1999,Soufriere Hills,W Indies,16.72,-62.18,915,3
1999,Fuego,Guatemala,14.473,-90.88,3763,2
1999,Shiveluch,Kamchatka,56.653,161.36,3283,4
1999,Guagua Pichincha,Ecuador,-0.171,-78.598,4784,3
1999,Tungurahua,Ecuador,-1.467,-78.442,5023,3
2000,Miyake-jima,Izu Is-Japan,34.08,139.53,815,2
2000,Semeru,Java,-8.108,112.92,3676,3
2000,Arenal,Costa Rica,10.463,-84.703,1657,3
2000,Kilauea,Hawaiian Is,19.425,-155.292,1222,
2000,Merapi,Java,-7.542,110.442,2947,2
2001,Etna,Italy,37.734,15.004,3350,3
2001,Etna,Italy,37.734,15.004,3350,2
2001,Merapi,Java,-7.542,110.442,2947,2
2001,Stromboli,Italy,38.789,15.213,926,2
2002,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,3
2002,Nyiragongo,Africa-C,,,,
2002,Etna,Italy,37.734,15.004,3350,3
2002,Reventador,Ecuador,-0.078,-77.656,3562,4
2002,Stromboli,Italy,38.789,15.213,926,
2002,Semeru,Java,-8.108,112.92,3676,3
2003,Soufriere Hills,W Indies,16.72,-62.18,915,3
2004,Egon,Lesser Sunda Is,-8.67,122.45,1703,1
2004,Tengger Caldera,Java,-7.942,112.95,2329,2
2004,Manam,New Guinea-NE of,-4.1,145.061,1807,4
2005,Manam,New Guinea-NE of,-4.1,145.061,1807,4
2005,Santa Ana,El Salvador,13.853,-89.63,2365,3
2005,Karthala,Indian O-W,-11.75,43.38,2361,
2006,Raoul Island,Kermadec Is,-29.27,-177.92,516,
2006,Soufriere Hills,W Indies,16.72,-62.18,915,2
2006,Bulusan,Luzon-Philippines,12.77,124.05,1565,2
2006,Merapi,Java,-7.542,110.442,2947,1
2006,Tungurahua,Ecuador,-1.467,-78.442,5023,3
2006,Tungurahua,Ecuador,-1.467,-78.442,5023,3
2006,Mayon,Luzon-Philippines,13.257,123.685,2462,1
2007,Manam,New Guinea-NE of,-4.1,145.061,1807,4
2007,Huila,Colombia,2.92,-76.05,5365,
2007,Salak,Java,-6.72,106.73,2211,
2007,Tair,,,,,
2008,Chaiten,Chile-S,-42.833,-72.646,962,
2008,Kasatochi,Aleutian Is,52.18,-175.5,314,3
2008,Tungurahua,Ecuador,-1.467,-78.442,5023,3
2008,Huila,Colombia,2.92,-76.05,5365,
2009,Redoubt,Alaska-SW,60.48,-152.75,3108,
2009,Kilauea,Hawaiian Is,19.425,-155.292,1222,
2010,Tungurahua,Ecuador,-1.467,-78.442,5023,3
2010,Eyjafjallajokull,Iceland-S,63.63,-19.62,1666,2
2010,Pacaya,Guatemala,14.381,-90.601,2552,1
2010,Sarigan,Mariana Is-C Pacific,16.708,145.78,538,
2010,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,3
2010,Sinabung,Sumatra,3.17,98.392,2460,
2010,Merapi,Java,-7.542,110.442,2947,
2010,Tungurahua,Ecuador,-1.467,-78.442,5023,3
2010,Tengger Caldera,Java,-7.942,112.95,2329,
2011,Merapi,Java,-7.542,110.442,2947,
2011,Kirishima,Kyushu-Japan,31.93,130.87,1700,
2011,Bulusan,Luzon-Philippines,12.77,124.05,1565,2
2011,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,
2011,Tungurahua,Ecuador,-1.467,-78.442,5023,4
2011,Puyehue,Chile-C,-40.59,-72.117,2236,4
2011,Nabro,Africa-NE,13.37,41.7,2218,3
2011,Katla,Iceland-S,63.63,-19.05,1512,
2011,Lokon-Empung,Sulawesi-Indonesia,1.358,124.792,1580,
2011,Gamalama,Halmahera-Indonesia,0.8,127.325,1715,3
2012,Kilauea,Hawaiian Is,19.425,-155.292,1222,
2012,Kilauea,Hawaiian Is,19.425,-155.292,1222,
2012,Tolbachik,Kamchatka,55.83,160.33,3682,
2013,Merapi,Java,-7.542,110.442,2947,
2013,Paluweh,Lesser Sunda Is,-8.32,121.708,875,
2013,Mayon,Luzon-Philippines,13.257,123.685,2462,
2013,Paluweh,Lesser Sunda Is,-8.32,121.708,875,3
2013,Ubinas,Peru,-16.355,-70.903,5672,
2013,Sakura-jima,Kyushu-Japan,31.58,130.67,1117,
2013,Sinabung,Sumatra,3.17,98.392,2460,2
2013,Okataina,New Zealand,-38.12,176.5,1111,
2014,Sinabung,Sumatra,3.17,98.392,2460,
2014,Kelut,Java,-7.93,112.308,1731,
2014,On-take,Honshu-Japan,35.9,137.48,3063,3
2014,Kilauea,Hawaiian Is,19.425,-155.292,1222,
2014,Fogo,Cape Verde Is,14.95,-24.35,2829,
2014,Gamalama,Halmahera-Indonesia,0.8,127.325,1715,
2015,Sinabung,Sumatra,3.17,98.392,2460,
2015,Calbuco,Chile-S,-41.326,-72.614,2003,
2015,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,
2015,Manam,New Guinea-NE of,-4.1,145.061,1807,2
2015,Sinabung,Sumatra,3.17,98.392,2460,
2015,Okataina,New Zealand,-38.12,176.5,1111,
2016,Sinabung,Sumatra,3.17,98.392,2460,
2016,Sinabung,Sumatra,3.17,98.392,2460,
2016,Yellowstone,US-Wyoming,44.43,-110.67,2805,
2016,Rinjani,Lesser Sunda Is,-8.42,116.47,3726,
2016,Aso,Kyushu-Japan,32.88,131.1,1592,
2017,Sinabung,Sumatra,3.17,98.392,2460,2
2017,Dieng Volc Complex,Java,-7.2,109.92,2565,
2017,Campi Flegrei,Italy,40.827,14.139,458,
2017,Aoba,Vanuatu-SW Pacific,-15.4,167.83,1496,
2017,Kilauea,Hawaiian Is,19.425,-155.292,1222,
